name,price,location,link,Description,Property Address,Estate Name,Property Size,Condition,Furnishing,Attribute_1,Attribute_2,Attribute_3,Subtype,Agency Fee,Legal and Agreement Fee,Caution Fee,Total Fee,Service Charge Fee,Service Charge Covers,Pets,New Property,Total Rooms,Parking Space,Broker Fee,Facilities,Listing by,Furnished
"2bdrm Bungalow in Good Home Estate, Ado / Ajah for rent", 900000,"Ajah, Ado / Ajah",https://jiji.ng/ado-ajah/houses-apartments-for-rent/2bdrm-bungalow-in-good-home-estate-ado-ajah-for-rent-8ah2GIDcqMIkn2wahdbnYCVS.html?page=1&pos=1&cur_pos=1&ads_per_page=22&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=0,"Standard Self Serviced 2Bed Flat En-suite with 2 Toilets, in a secured Estate 
Location: Good Home Estate",Good Home Estate,Good Home Estate,500sqm,Fairly Used,Semi-Furnished,Bungalow,2 bedrooms,2 bathrooms,,,,,,,,,,,,,,,
"3bdrm Townhouse / Terrace in Ikota Villa, Lekki Expressway for rent", 3000000,"Lekki, Lekki Expressway",https://jiji.ng/lekki-expressway/houses-apartments-for-rent/3bdrm-townhouse-terrace-in-ikota-villa-lekki-expressway-for-rent-6DpLsCz4F0BA8EH5nXPLJN3t.html?page=1&pos=4&cur_pos=4&ads_per_page=22&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=3,"3 bed duplex terrace with BQ, all rooms ensut ,with extra room,
Rent. 3m
Agent. 300k
Legal. 300k
Caution. 150k","3 bed terrace with BQ and extra room, all ensat IKOTA villa",IKOTA VILLA,300sqm,Renovated,Semi-Furnished,Townhouse / Terrace,3 bedrooms,3 bathrooms,Detached,300000,300000,150000,750000,,,,,,,,,,
Mini Flat in Gbagada for rent, 1600000,Gbagada,https://jiji.ng/gbagada/houses-apartments-for-rent/mini-flat-in-gbagada-for-rent-A0wRCMKb0BR0kVRwAdQADOBg.html?page=1&pos=7&cur_pos=7&ads_per_page=22&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=6,"F E A T U R E S
- Security 
- Inverter 
- CCTV
- Water heater 
- Heat extractor 
- Pop
- Modern finishing and fittings",Pedro Gbagada Lagos,,110sqm,Newly-Built,Semi-Furnished,Mini Flat,1 bedroom,1 bathroom,,,,,,200000,"Waste removal, compound cleaning, security, etc.",,,,,,,,
"4bdrm Townhouse / Terrace in Orchid Road, Chevron for rent", 3700000,"Lekki, Chevron",https://jiji.ng/chevron/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-orchid-road-chevron-for-rent-Bd0u525SAp25Yn5dTnLLK05N.html?page=1&pos=10&cur_pos=10&ads_per_page=22&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=9,"For rent 
newly built serviced 
4-bedroom terrace duplex 
location: orchid road
rent :
agency: 10%
legal : 10% 
caution 10% 
service charge (monthly)",Orchid road,Orchid road,300sqm,Newly-Built,Unfurnished,Townhouse / Terrace,4 bedrooms,4 bathrooms,Semi-Detached,,,,,,,,,,,,,,
"2bdrm Block of Flats in Isheri North Gra, Berger for rent", 1300000,"Ojodu, Berger",https://jiji.ng/berger/houses-apartments-for-rent/2bdrm-block-of-flats-in-isheri-north-gra-berger-for-rent-34IWeodz6XoDgSRj8t6GE4lN.html?page=1&pos=13&cur_pos=13&ads_per_page=22&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=12,House is newly built and tastefully finished with modern fittings...,Road 10,Isheri North GRA,400sqm,Newly-Built,Semi-Furnished,Block of Flats,2 bedrooms,3 bathrooms,,,,,,,,,,,,,,,
4bdrm Duplex in Magodo Phase 2 for rent, 8000000,"Magodo, GRA Phase 2 Shangisha",https://jiji.ng/gra-phase-2/houses-apartments-for-rent/4bdrm-duplex-in-magodo-phase-2-for-rent-8oB8SfhvYjy3lyFpbWAIeOfR.html?page=1&pos=16&cur_pos=16&ads_per_page=22&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=15,"*To Let Magodo Ph2*
*A very spacious 4 bedroom semi detached duplex all rooms ensuite + bq @ Magodo Ph2*
*Rent: N8m*",Magodo Phase 2,Magodo Phase 2,600sqm,Renovated,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,,,
"2bdrm Apartment in Sunshine Estate, Ajah for rent", 1600000,Ajah,https://jiji.ng/ajah/houses-apartments-for-rent/2bdrm-apartment-in-sunshine-estate-ajah-for-rent-ARgi3EKhsG1SiMbmCh14iUus.html?page=1&pos=19&cur_pos=19&ads_per_page=22&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=18,"Well finished and spacious 2bedroom flat on Top floor with pop finishing and kitchen cabinet with wardrobe
*Location* behind Blenco supermarket Ogidan Sangotedo Lekki Lagos 
*Rent* 1.6m
*Agent* 160k
*Agreement* 160k
*Refundable Cautions* 100k
*Total package* N2,020,000",Blenco SANGOTEDO,Sunshine estate,600sqm,Newly-Built,Semi-Furnished,Apartment,2 bedrooms,2 bathrooms,,,,,,,,,,,,,,,
"3bdrm Apartment in Mobil, Oke-Ira / Ogba for rent", 1600000,"Ogba, Oke-Ira / Ogba",https://jiji.ng/ogba-oke-ira/houses-apartments-for-rent/3bdrm-apartment-in-mobil-oke-ira-ogba-for-rent-6acVXJs7kBDjEb5dfc8lYAAS.html?page=1&pos=22&cur_pos=22&ads_per_page=22&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=21,House is well built and tastefully finished with modern facilities in a decent and gated close...,Off Ola,Mobil,620sqm,Fairly Used,Semi-Furnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,,,,,,,,
4bdrm Duplex in Agungi for rent, 5500000,"Lekki, Agungi",https://jiji.ng/agungi/houses-apartments-for-rent/4bdrm-duplex-in-agungi-for-rent-wIMGG09fcZJj6SNBstNAoMFN.html?page=2&pos=5&cur_pos=5&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=26,"*newly renovated luxury 4bedroom semi-detached duplex for rent*
amenities: 
- [ ] fitted kitchen with accessories 
- [ ] modern day pop ceiling 
- [ ] detailed finishing 
- [ ] wardrobes 
- [ ] water heater
- [ ] heat extractor 
- [ ] bq
- [ ] newly installed borehole
- [ ] topnotch water treatment plant
location: agungi estate 
 *rent: n5.5m per annum*
agency: 10%
legal: 10%
caution: 5%",4 bed duplex semi detached at AGUNGI-LEKKI,AGUNGI,400sqm,Renovated,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,10,10,5,25,,,,,,,,,,
5bdrm Duplex in Lekki Phase 1 for rent, 14000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/5bdrm-duplex-in-lekki-phase-1-for-rent-cvie9lV4iX3QqdqrBzh6yyvK.html?page=2&pos=8&cur_pos=8&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=29,"TO LET/LEKKI PHASE 1
Stand alone 5bedroom duplex with a Bq
Rent:14M
If you are paying for 2years it will be 13M per annum.
Agent and Legal:10% each
Caution:1M.
Ref Daniel080XXXXXXXX",Lekki lagos nigeria,Lekki phase 1,1000sqm,Fairly Used,Unfurnished,Duplex,5 bedrooms,6 bathrooms,,,,,,,,,,,,,,,
